縣市名稱,查報均價(元/20公斤(桶)),查報日期(年/月)
臺北市,922,201101
基隆市,896,201101
新北市,856,201101
宜蘭縣,794,201101
新竹市,858,201101
新竹縣,829,201101
桃園市,816,201101
苗栗縣,843,201101
臺中市,822,201101
彰化縣,790,201101
南投縣,811,201101
嘉義市,840,201101
嘉義縣,827,201101
雲林縣,815,201101
臺南市,802,201101
高雄市,812,201101
澎湖縣,860,201101
屏東縣,805,201101
臺東縣,844,201101
花蓮縣,854,201101
金門縣,872,201101
連江縣,852,201101
臺北市,875,201102
基隆市,858,201102
新北市,831,201102
宜蘭縣,769,201102
新竹市,790,201102
新竹縣,786,201102
桃園市,786,201102
苗栗縣,822,201102
臺中市,794,201102
彰化縣,766,201102
南投縣,789,201102
嘉義市,795,201102
嘉義縣,797,201102
雲林縣,801,201102
臺南市,771,201102
高雄市,784,201102
澎湖縣,844,201102
屏東縣,774,201102
臺東縣,839,201102
花蓮縣,812,201102
金門縣,842,201102
連江縣,822,201102
臺北市,874,201103
基隆市,878,201103
新北市,836,201103
宜蘭縣,776,201103
新竹市,823,201103
新竹縣,777,201103
桃園市,797,201103
苗栗縣,826,201103
臺中市,799,201103
彰化縣,780,201103
南投縣,795,201103
嘉義市,794,201103
嘉義縣,799,201103
雲林縣,813,201103
臺南市,781,201103
高雄市,794,201103
澎湖縣,845,201103
屏東縣,775,201103
臺東縣,838,201103
花蓮縣,838,201103
金門縣,852,201103
連江縣,832,201103
臺北市,894,201104
基隆市,874,201104
新北市,836,201104
宜蘭縣,782,201104
新竹市,828,201104
新竹縣,801,201104
桃園市,796,201104
苗栗縣,820,201104
臺中市,796,201104
彰化縣,774,201104
南投縣,796,201104
嘉義市,799,201104
嘉義縣,813,201104
雲林縣,818,201104
臺南市,784,201104
高雄市,795,201104
澎湖縣,815,201104
屏東縣,780,201104
臺東縣,838,201104
花蓮縣,836,201104
金門縣,852,201104
連江縣,832,201104
臺北市,886,201105
基隆市,886,201105
新北市,838,201105
宜蘭縣,767,201105
新竹市,795,201105
新竹縣,798,201105
桃園市,798,201105
苗栗縣,823,201105
臺中市,797,201105
彰化縣,772,201105
南投縣,800,201105
嘉義市,795,201105
嘉義縣,805,201105
雲林縣,812,201105
臺南市,779,201105
高雄市,793,201105
澎湖縣,819,201105
屏東縣,779,201105
臺東縣,848,201105
花蓮縣,835,201105
金門縣,852,201105
連江縣,832,201105
臺北市,884,201106
基隆市,873,201106
新北市,837,201106
宜蘭縣,765,201106
新竹市,818,201106
新竹縣,797,201106
桃園市,795,201106
苗栗縣,831,201106
臺中市,799,201106
彰化縣,776,201106
南投縣,803,201106
嘉義市,791,201106
嘉義縣,804,201106
雲林縣,810,201106
臺南市,783,201106
高雄市,795,201106
澎湖縣,817,201106
屏東縣,776,201106
臺東縣,839,201106
花蓮縣,834,201106
金門縣,852,201106
連江縣,832,201106
臺北市,897,201107
基隆市,874,201107
新北市,832,201107
宜蘭縣,785,201107
新竹市,810,201107
新竹縣,798,201107
桃園市,796,201107
苗栗縣,822,201107
臺中市,795,201107
彰化縣,772,201107
南投縣,803,201107
嘉義市,795,201107
嘉義縣,810,201107
雲林縣,813,201107
臺南市,786,201107
高雄市,794,201107
澎湖縣,815,201107
屏東縣,777,201107
臺東縣,841,201107
花蓮縣,824,201107
金門縣,848,201107
連江縣,832,201107
臺北市,885,201108
基隆市,875,201108
新北市,850,201108
宜蘭縣,783,201108
新竹市,805,201108
新竹縣,809,201108
桃園市,801,201108
苗栗縣,827,201108
臺中市,809,201108
彰化縣,784,201108
南投縣,813,201108
嘉義市,792,201108
嘉義縣,813,201108
雲林縣,823,201108
臺南市,785,201108
高雄市,803,201108
澎湖縣,821,201108
屏東縣,790,201108
臺東縣,854,201108
花蓮縣,837,201108
金門縣,852,201108
連江縣,842,201108
臺北市,885,201109
基隆市,882,201109
新北市,848,201109
宜蘭縣,773,201109
新竹市,810,201109
新竹縣,805,201109
桃園市,805,201109
苗栗縣,834,201109
臺中市,809,201109
彰化縣,788,201109
南投縣,801,201109
嘉義市,794,201109
嘉義縣,810,201109
雲林縣,820,201109
臺南市,793,201109
高雄市,804,201109
澎湖縣,818,201109
屏東縣,784,201109
臺東縣,854,201109
花蓮縣,837,201109
金門縣,821,201109
連江縣,842,201109
臺北市,906,201110
基隆市,878,201110
新北市,848,201110
宜蘭縣,787,201110
新竹市,830,201110
新竹縣,810,201110
桃園市,805,201110
苗栗縣,832,201110
臺中市,806,201110
彰化縣,780,201110
南投縣,814,201110
嘉義市,798,201110
嘉義縣,815,201110
雲林縣,820,201110
臺南市,792,201110
高雄市,802,201110
澎湖縣,816,201110
屏東縣,792,201110
臺東縣,849,201110
花蓮縣,837,201110
金門縣,820,201110
連江縣,842,201110
臺北市,894,201111
基隆市,888,201111
新北市,847,201111
宜蘭縣,787,201111
新竹市,795,201111
新竹縣,802,201111
桃園市,806,201111
苗栗縣,833,201111
臺中市,810,201111
彰化縣,783,201111
南投縣,817,201111
嘉義市,793,201111
嘉義縣,811,201111
雲林縣,825,201111
臺南市,788,201111
高雄市,801,201111
澎湖縣,820,201111
屏東縣,790,201111
臺東縣,854,201111
花蓮縣,841,201111
金門縣,820,201111
連江縣,842,201111
臺北市,902,201112
基隆市,875,201112
新北市,843,201112
宜蘭縣,781,201112
新竹市,818,201112
新竹縣,818,201112
桃園市,802,201112
苗栗縣,838,201112
臺中市,808,201112
彰化縣,786,201112
南投縣,808,201112
嘉義市,799,201112
嘉義縣,811,201112
雲林縣,818,201112
臺南市,794,201112
高雄市,805,201112
澎湖縣,818,201112
屏東縣,786,201112
臺東縣,848,201112
花蓮縣,838,201112
金門縣,820,201112
連江縣,842,201112
臺北市,903,201201
基隆市,877,201201
新北市,847,201201
宜蘭縣,786,201201
新竹市,822,201201
新竹縣,815,201201
桃園市,802,201201
苗栗縣,833,201201
臺中市,807,201201
彰化縣,786,201201
南投縣,812,201201
嘉義市,796,201201
嘉義縣,817,201201
雲林縣,822,201201
臺南市,793,201201
高雄市,803,201201
澎湖縣,815,201201
屏東縣,794,201201
臺東縣,847,201201
花蓮縣,846,201201
金門縣,821,201201
連江縣,842,201201
臺北市,922,201202
基隆市,936,201202
新北市,884,201202
宜蘭縣,819,201202
新竹市,830,201202
新竹縣,843,201202
桃園市,834,201202
苗栗縣,861,201202
臺中市,855,201202
彰化縣,820,201202
南投縣,852,201202
嘉義市,827,201202
嘉義縣,844,201202
雲林縣,852,201202
臺南市,824,201202
高雄市,837,201202
澎湖縣,866,201202
屏東縣,823,201202
臺東縣,887,201202
花蓮縣,872,201202
金門縣,856,201202
連江縣,878,201202
臺北市,961,201203
基隆市,950,201203
新北市,918,201203
宜蘭縣,863,201203
新竹市,882,201203
新竹縣,887,201203
桃園市,877,201203
苗栗縣,905,201203
臺中市,888,201203
彰化縣,861,201203
南投縣,884,201203
嘉義市,868,201203
嘉義縣,882,201203
雲林縣,891,201203
臺南市,868,201203
高雄市,876,201203
澎湖縣,905,201203
屏東縣,864,201203
臺東縣,918,201203
花蓮縣,910,201203
金門縣,895,201203
連江縣,918,201203
臺北市,943,201204
基隆市,920,201204
新北市,878,201204
宜蘭縣,830,201204
新竹市,845,201204
新竹縣,844,201204
桃園市,843,201204
苗栗縣,862,201204
臺中市,852,201204
彰化縣,812,201204
南投縣,849,201204
嘉義市,831,201204
嘉義縣,844,201204
雲林縣,851,201204
臺南市,830,201204
高雄市,833,201204
澎湖縣,866,201204
屏東縣,827,201204
臺東縣,887,201204
花蓮縣,875,201204
金門縣,857,201204
連江縣,878,201204
臺北市,896,201205
基隆市,890,201205
新北市,857,201205
宜蘭縣,790,201205
新竹市,800,201205
新竹縣,810,201205
桃園市,809,201205
苗栗縣,837,201205
臺中市,821,201205
彰化縣,788,201205
南投縣,821,201205
嘉義市,795,201205
嘉義縣,810,201205
雲林縣,822,201205
臺南市,797,201205
高雄市,804,201205
澎湖縣,842,201205
屏東縣,801,201205
臺東縣,865,201205
花蓮縣,840,201205
金門縣,827,201205
連江縣,848,201205
臺北市,871,201206
基隆市,858,201206
新北市,819,201206
宜蘭縣,769,201206
新竹市,785,201206
新竹縣,781,201206
桃園市,773,201206
苗栗縣,812,201206
臺中市,791,201206
彰化縣,762,201206
南投縣,790,201206
嘉義市,767,201206
嘉義縣,780,201206
雲林縣,791,201206
臺南市,772,201206
高雄市,780,201206
澎湖縣,805,201206
屏東縣,763,201206
臺東縣,832,201206
花蓮縣,819,201206
金門縣,798,201206
連江縣,818,201206
臺北市,849,201207
基隆市,821,201207
新北市,790,201207
宜蘭縣,743,201207
新竹市,762,201207
新竹縣,764,201207
桃園市,746,201207
苗栗縣,781,201207
臺中市,763,201207
彰化縣,726,201207
南投縣,756,201207
嘉義市,738,201207
嘉義縣,755,201207
雲林縣,760,201207
臺南市,740,201207
高雄市,748,201207
澎湖縣,775,201207
屏東縣,736,201207
臺東縣,800,201207
花蓮縣,779,201207
金門縣,770,201207
連江縣,788,201207
臺北市,887,201208
基隆市,892,201208
新北市,847,201208
宜蘭縣,796,201208
新竹市,788,201208
新竹縣,798,201208
桃園市,804,201208
苗栗縣,817,201208
臺中市,816,201208
彰化縣,780,201208
南投縣,801,201208
嘉義市,786,201208
嘉義縣,800,201208
雲林縣,810,201208
臺南市,787,201208
高雄市,797,201208
澎湖縣,828,201208
屏東縣,787,201208
臺東縣,860,201208
花蓮縣,837,201208
金門縣,818,201208
連江縣,838,201208
臺北市,938,201209
基隆市,918,201209
新北市,888,201209
宜蘭縣,843,201209
新竹市,860,201209
新竹縣,856,201209
桃園市,851,201209
苗栗縣,872,201209
臺中市,860,201209
彰化縣,830,201209
南投縣,856,201209
嘉義市,836,201209
嘉義縣,849,201209
雲林縣,860,201209
臺南市,839,201209
高雄市,846,201209
澎湖縣,878,201209
屏東縣,834,201209
臺東縣,908,201209
花蓮縣,898,201209
金門縣,868,201209
連江縣,888,201209
臺北市,948,201210
基隆市,916,201210
新北市,893,201210
宜蘭縣,842,201210
新竹市,855,201210
新竹縣,861,201210
桃園市,849,201210
苗栗縣,872,201210
臺中市,858,201210
彰化縣,826,201210
南投縣,854,201210
嘉義市,835,201210
嘉義縣,861,201210
雲林縣,860,201210
臺南市,846,201210
高雄市,844,201210
澎湖縣,876,201210
屏東縣,842,201210
臺東縣,902,201210
花蓮縣,887,201210
金門縣,867,201210
連江縣,888,201210
臺北市,932,201211
基隆市,925,201211
新北市,898,201211
宜蘭縣,838,201211
新竹市,835,201211
新竹縣,856,201211
桃園市,851,201211
苗栗縣,870,201211
臺中市,862,201211
彰化縣,833,201211
南投縣,863,201211
嘉義市,834,201211
嘉義縣,851,201211
雲林縣,862,201211
臺南市,837,201211
高雄市,846,201211
澎湖縣,881,201211
屏東縣,839,201211
臺東縣,918,201211
花蓮縣,892,201211
金門縣,867,201211
連江縣,888,201211
臺北市,940,201212
基隆市,938,201212
新北市,893,201212
宜蘭縣,844,201212
新竹市,862,201212
新竹縣,856,201212
桃園市,844,201212
苗栗縣,869,201212
臺中市,859,201212
彰化縣,829,201212
南投縣,859,201212
嘉義市,836,201212
嘉義縣,850,201212
雲林縣,859,201212
臺南市,841,201212
高雄市,844,201212
澎湖縣,878,201212
屏東縣,839,201212
臺東縣,900,201212
花蓮縣,897,201212
金門縣,868,201212
連江縣,888,201212
臺北市,943,201301
基隆市,917,201301
新北市,893,201301
宜蘭縣,842,201301
新竹市,860,201301
新竹縣,856,201301
桃園市,845,201301
苗栗縣,872,201301
臺中市,857,201301
彰化縣,826,201301
南投縣,858,201301
嘉義市,834,201301
嘉義縣,853,201301
雲林縣,858,201301
臺南市,844,201301
高雄市,845,201301
澎湖縣,877,201301
屏東縣,839,201301
臺東縣,902,201301
花蓮縣,887,201301
金門縣,868,201301
連江縣,888,201301
臺北市,932,201302
基隆市,925,201302
新北市,895,201302
宜蘭縣,836,201302
新竹市,840,201302
新竹縣,854,201302
桃園市,852,201302
苗栗縣,874,201302
臺中市,859,201302
彰化縣,829,201302
南投縣,860,201302
嘉義市,835,201302
嘉義縣,848,201302
雲林縣,862,201302
臺南市,839,201302
高雄市,846,201302
澎湖縣,881,201302
屏東縣,840,201302
臺東縣,905,201302
花蓮縣,891,201302
金門縣,868,201302
連江縣,888,201302
臺北市,944,201303
基隆市,932,201303
新北市,889,201303
宜蘭縣,836,201303
新竹市,862,201303
新竹縣,861,201303
桃園市,846,201303
苗栗縣,874,201303
臺中市,863,201303
彰化縣,831,201303
南投縣,859,201303
嘉義市,837,201303
嘉義縣,847,201303
雲林縣,859,201303
臺南市,840,201303
高雄市,848,201303
澎湖縣,878,201303
屏東縣,836,201303
臺東縣,902,201303
花蓮縣,894,201303
金門縣,868,201303
連江縣,888,201303
臺北市,944,201304
基隆市,910,201304
新北市,889,201304
宜蘭縣,835,201304
新竹市,850,201304
新竹縣,861,201304
桃園市,846,201304
苗栗縣,873,201304
臺中市,856,201304
彰化縣,826,201304
南投縣,856,201304
嘉義市,836,201304
嘉義縣,859,201304
雲林縣,860,201304
臺南市,843,201304
高雄市,844,201304
澎湖縣,878,201304
屏東縣,840,201304
臺東縣,903,201304
花蓮縣,887,201304
金門縣,868,201304
連江縣,888,201304
臺北市,937,201305
基隆市,944,201305
新北市,898,201305
宜蘭縣,834,201305
新竹市,842,201305
新竹縣,861,201305
桃園市,843,201305
苗栗縣,877,201305
臺中市,862,201305
彰化縣,830,201305
南投縣,861,201305
嘉義市,833,201305
嘉義縣,853,201305
雲林縣,860,201305
臺南市,838,201305
高雄市,844,201305
澎湖縣,882,201305
屏東縣,835,201305
臺東縣,906,201305
花蓮縣,888,201305
金門縣,868,201305
連江縣,888,201305
臺北市,947,201306
基隆市,940,201306
新北市,899,201306
宜蘭縣,851,201306
新竹市,872,201306
新竹縣,856,201306
桃園市,861,201306
苗栗縣,882,201306
臺中市,865,201306
彰化縣,840,201306
南投縣,866,201306
嘉義市,841,201306
嘉義縣,854,201306
雲林縣,864,201306
臺南市,850,201306
高雄市,855,201306
澎湖縣,883,201306
屏東縣,848,201306
臺東縣,912,201306
花蓮縣,899,201306
金門縣,868,201306
連江縣,895,201306
臺北市,978,201307
基隆市,952,201307
新北市,922,201307
宜蘭縣,866,201307
新竹市,890,201307
新竹縣,884,201307
桃園市,872,201307
苗栗縣,898,201307
臺中市,885,201307
彰化縣,855,201307
南投縣,881,201307
嘉義市,859,201307
嘉義縣,880,201307
雲林縣,881,201307
臺南市,870,201307
高雄市,872,201307
澎湖縣,900,201307
屏東縣,871,201307
臺東縣,933,201307
花蓮縣,905,201307
金門縣,887,201307
連江縣,915,201307
臺北市,976,201308
基隆市,971,201308
新北市,940,201308
宜蘭縣,876,201308
新竹市,884,201308
新竹縣,897,201308
桃園市,890,201308
苗栗縣,910,201308
臺中市,905,201308
彰化縣,871,201308
南投縣,896,201308
嘉義市,875,201308
嘉義縣,890,201308
雲林縣,895,201308
臺南市,880,201308
高雄市,886,201308
澎湖縣,915,201308
屏東縣,877,201308
臺東縣,951,201308
花蓮縣,927,201308
金門縣,898,201308
連江縣,928,201308
臺北市,1012,201309
基隆市,992,201309
新北市,965,201309
宜蘭縣,904,201309
新竹市,920,201309
新竹縣,915,201309
桃園市,915,201309
苗栗縣,940,201309
臺中市,927,201309
彰化縣,899,201309
南投縣,928,201309
嘉義市,903,201309
嘉義縣,916,201309
雲林縣,924,201309
臺南市,913,201309
高雄市,916,201309
澎湖縣,937,201309
屏東縣,905,201309
臺東縣,977,201309
花蓮縣,956,201309
金門縣,928,201309
連江縣,958,201309
臺北市,1009,201310
基隆市,990,201310
新北市,949,201310
宜蘭縣,906,201310
新竹市,898,201310
新竹縣,919,201310
桃園市,908,201310
苗栗縣,929,201310
臺中市,915,201310
彰化縣,887,201310
南投縣,908,201310
嘉義市,892,201310
嘉義縣,908,201310
雲林縣,914,201310
臺南市,903,201310
高雄市,904,201310
澎湖縣,930,201310
屏東縣,896,201310
臺東縣,952,201310
花蓮縣,945,201310
金門縣,919,201310
連江縣,948,201310
臺北市,1020,201311
基隆市,991,201311
新北市,973,201311
宜蘭縣,915,201311
新竹市,930,201311
新竹縣,926,201311
桃園市,929,201311
苗栗縣,950,201311
臺中市,937,201311
彰化縣,908,201311
南投縣,940,201311
嘉義市,916,201311
嘉義縣,928,201311
雲林縣,933,201311
臺南市,919,201311
高雄市,923,201311
澎湖縣,953,201311
屏東縣,910,201311
臺東縣,979,201311
花蓮縣,960,201311
金門縣,940,201311
連江縣,968,201311
臺北市,1028,201312
基隆市,1002,201312
新北市,990,201312
宜蘭縣,938,201312
新竹市,960,201312
新竹縣,945,201312
桃園市,948,201312
苗栗縣,969,201312
臺中市,956,201312
彰化縣,931,201312
南投縣,952,201312
嘉義市,926,201312
嘉義縣,931,201312
雲林縣,957,201312
臺南市,942,201312
高雄市,943,201312
澎湖縣,974,201312
屏東縣,932,201312
臺東縣,1003,201312
花蓮縣,992,201312
金門縣,959,201312
連江縣,988,201312
臺北市,973,201401
基隆市,934,201401
新北市,919,201401
宜蘭縣,862,201401
新竹市,882,201401
新竹縣,882,201401
桃園市,880,201401
苗栗縣,901,201401
臺中市,885,201401
彰化縣,858,201401
南投縣,880,201401
嘉義市,865,201401
嘉義縣,878,201401
雲林縣,884,201401
臺南市,876,201401
高雄市,876,201401
澎湖縣,893,201401
屏東縣,863,201401
臺東縣,930,201401
花蓮縣,922,201401
金門縣,889,201401
連江縣,918,201401
臺北市,963,201402
基隆市,946,201402
新北市,928,201402
宜蘭縣,865,201402
新竹市,872,201402
新竹縣,885,201402
桃園市,875,201402
苗栗縣,906,201402
臺中市,889,201402
彰化縣,864,201402
南投縣,890,201402
嘉義市,862,201402
嘉義縣,876,201402
雲林縣,884,201402
臺南市,873,201402
高雄市,876,201402
澎湖縣,893,201402
屏東縣,863,201402
臺東縣,932,201402
花蓮縣,914,201402
金門縣,888,201402
連江縣,918,201402
臺北市,944,201403
基隆市,938,201403
新北市,905,201403
宜蘭縣,844,201403
新竹市,875,201403
新竹縣,861,201403
桃園市,860,201403
苗栗縣,881,201403
臺中市,870,201403
彰化縣,845,201403
南投縣,871,201403
嘉義市,844,201403
嘉義縣,851,201403
雲林縣,865,201403
臺南市,853,201403
高雄市,854,201403
澎湖縣,873,201403
屏東縣,844,201403
臺東縣,915,201403
花蓮縣,897,201403
金門縣,868,201403
連江縣,898,201403
臺北市,962,201404
基隆市,930,201404
新北市,902,201404
宜蘭縣,848,201404
新竹市,868,201404
新竹縣,862,201404
桃園市,856,201404
苗栗縣,879,201404
臺中市,865,201404
彰化縣,840,201404
南投縣,864,201404
嘉義市,839,201404
嘉義縣,855,201404
雲林縣,864,201404
臺南市,855,201404
高雄市,853,201404
澎湖縣,872,201404
屏東縣,847,201404
臺東縣,914,201404
花蓮縣,892,201404
金門縣,869,201404
連江縣,898,201404
臺北市,986,201405
基隆市,962,201405
新北市,944,201405
宜蘭縣,886,201405
新竹市,882,201405
新竹縣,909,201405
桃園市,901,201405
苗栗縣,918,201405
臺中市,908,201405
彰化縣,880,201405
南投縣,906,201405
嘉義市,877,201405
嘉義縣,893,201405
雲林縣,901,201405
臺南市,893,201405
高雄市,893,201405
澎湖縣,908,201405
屏東縣,884,201405
臺東縣,957,201405
花蓮縣,935,201405
金門縣,908,201405
連江縣,932,201405
臺北市,983,201406
基隆市,978,201406
新北市,944,201406
宜蘭縣,890,201406
新竹市,895,201406
新竹縣,894,201406
桃園市,898,201406
苗栗縣,920,201406
臺中市,906,201406
彰化縣,881,201406
南投縣,905,201406
嘉義市,882,201406
嘉義縣,888,201406
雲林縣,901,201406
臺南市,893,201406
高雄市,894,201406
澎湖縣,908,201406
屏東縣,878,201406
臺東縣,963,201406
花蓮縣,942,201406
金門縣,908,201406
連江縣,932,201406
臺北市,1010,201407
基隆市,964,201407
新北市,948,201407
宜蘭縣,896,201407
新竹市,907,201407
新竹縣,919,201407
桃園市,904,201407
苗栗縣,925,201407
臺中市,914,201407
彰化縣,891,201407
南投縣,913,201407
嘉義市,889,201407
嘉義縣,906,201407
雲林縣,910,201407
臺南市,902,201407
高雄市,903,201407
澎湖縣,922,201407
屏東縣,894,201407
臺東縣,963,201407
花蓮縣,949,201407
金門縣,918,201407
連江縣,942,201407
臺北市,1003,201408
基隆市,961,201408
新北市,960,201408
