縣市名稱,查報均價(元/20公斤(桶)),查報年分,查報月份
臺北市,922,2011,01
基隆市,896,2011,01
新北市,856,2011,01
宜蘭縣,794,2011,01
新竹市,858,2011,01
新竹縣,829,2011,01
桃園市,816,2011,01
苗栗縣,843,2011,01
臺中市,822,2011,01
彰化縣,790,2011,01
南投縣,811,2011,01
嘉義市,840,2011,01
嘉義縣,827,2011,01
雲林縣,815,2011,01
臺南市,802,2011,01
高雄市,812,2011,01
澎湖縣,860,2011,01
屏東縣,805,2011,01
臺東縣,844,2011,01
花蓮縣,854,2011,01
金門縣,872,2011,01
連江縣,852,2011,01
臺北市,875,2011,02
基隆市,858,2011,02
新北市,831,2011,02
宜蘭縣,769,2011,02
新竹市,790,2011,02
新竹縣,786,2011,02
桃園市,786,2011,02
苗栗縣,822,2011,02
臺中市,794,2011,02
彰化縣,766,2011,02
南投縣,789,2011,02
嘉義市,795,2011,02
嘉義縣,797,2011,02
雲林縣,801,2011,02
臺南市,771,2011,02
高雄市,784,2011,02
澎湖縣,844,2011,02
屏東縣,774,2011,02
臺東縣,839,2011,02
花蓮縣,812,2011,02
金門縣,842,2011,02
連江縣,822,2011,02
臺北市,874,2011,03
基隆市,878,2011,03
新北市,836,2011,03
宜蘭縣,776,2011,03
新竹市,823,2011,03
新竹縣,777,2011,03
桃園市,797,2011,03
苗栗縣,826,2011,03
臺中市,799,2011,03
彰化縣,780,2011,03
南投縣,795,2011,03
嘉義市,794,2011,03
嘉義縣,799,2011,03
雲林縣,813,2011,03
臺南市,781,2011,03
高雄市,794,2011,03
澎湖縣,845,2011,03
屏東縣,775,2011,03
臺東縣,838,2011,03
花蓮縣,838,2011,03
金門縣,852,2011,03
連江縣,832,2011,03
臺北市,894,2011,04
基隆市,874,2011,04
新北市,836,2011,04
宜蘭縣,782,2011,04
新竹市,828,2011,04
新竹縣,801,2011,04
桃園市,796,2011,04
苗栗縣,820,2011,04
臺中市,796,2011,04
彰化縣,774,2011,04
南投縣,796,2011,04
嘉義市,799,2011,04
嘉義縣,813,2011,04
雲林縣,818,2011,04
臺南市,784,2011,04
高雄市,795,2011,04
澎湖縣,815,2011,04
屏東縣,780,2011,04
臺東縣,838,2011,04
花蓮縣,836,2011,04
金門縣,852,2011,04
連江縣,832,2011,04
臺北市,886,2011,05
基隆市,886,2011,05
新北市,838,2011,05
宜蘭縣,767,2011,05
新竹市,795,2011,05
新竹縣,798,2011,05
桃園市,798,2011,05
苗栗縣,823,2011,05
臺中市,797,2011,05
彰化縣,772,2011,05
南投縣,800,2011,05
嘉義市,795,2011,05
嘉義縣,805,2011,05
雲林縣,812,2011,05
臺南市,779,2011,05
高雄市,793,2011,05
澎湖縣,819,2011,05
屏東縣,779,2011,05
臺東縣,848,2011,05
花蓮縣,835,2011,05
金門縣,852,2011,05
連江縣,832,2011,05
臺北市,884,2011,06
基隆市,873,2011,06
新北市,837,2011,06
宜蘭縣,765,2011,06
新竹市,818,2011,06
新竹縣,797,2011,06
桃園市,795,2011,06
苗栗縣,831,2011,06
臺中市,799,2011,06
彰化縣,776,2011,06
南投縣,803,2011,06
嘉義市,791,2011,06
嘉義縣,804,2011,06
雲林縣,810,2011,06
臺南市,783,2011,06
高雄市,795,2011,06
澎湖縣,817,2011,06
屏東縣,776,2011,06
臺東縣,839,2011,06
花蓮縣,834,2011,06
金門縣,852,2011,06
連江縣,832,2011,06
臺北市,897,2011,07
基隆市,874,2011,07
新北市,832,2011,07
宜蘭縣,785,2011,07
新竹市,810,2011,07
新竹縣,798,2011,07
桃園市,796,2011,07
苗栗縣,822,2011,07
臺中市,795,2011,07
彰化縣,772,2011,07
南投縣,803,2011,07
嘉義市,795,2011,07
嘉義縣,810,2011,07
雲林縣,813,2011,07
臺南市,786,2011,07
高雄市,794,2011,07
澎湖縣,815,2011,07
屏東縣,777,2011,07
臺東縣,841,2011,07
花蓮縣,824,2011,07
金門縣,848,2011,07
連江縣,832,2011,07
臺北市,885,2011,08
基隆市,875,2011,08
新北市,850,2011,08
宜蘭縣,783,2011,08
新竹市,805,2011,08
新竹縣,809,2011,08
桃園市,801,2011,08
苗栗縣,827,2011,08
臺中市,809,2011,08
彰化縣,784,2011,08
南投縣,813,2011,08
嘉義市,792,2011,08
嘉義縣,813,2011,08
雲林縣,823,2011,08
臺南市,785,2011,08
高雄市,803,2011,08
澎湖縣,821,2011,08
屏東縣,790,2011,08
臺東縣,854,2011,08
花蓮縣,837,2011,08
金門縣,852,2011,08
連江縣,842,2011,08
臺北市,885,2011,09
基隆市,882,2011,09
新北市,848,2011,09
宜蘭縣,773,2011,09
新竹市,810,2011,09
新竹縣,805,2011,09
桃園市,805,2011,09
苗栗縣,834,2011,09
臺中市,809,2011,09
彰化縣,788,2011,09
南投縣,801,2011,09
嘉義市,794,2011,09
嘉義縣,810,2011,09
雲林縣,820,2011,09
臺南市,793,2011,09
高雄市,804,2011,09
澎湖縣,818,2011,09
屏東縣,784,2011,09
臺東縣,854,2011,09
花蓮縣,837,2011,09
金門縣,821,2011,09
連江縣,842,2011,09
臺北市,906,2011,10
基隆市,878,2011,10
新北市,848,2011,10
宜蘭縣,787,2011,10
新竹市,830,2011,10
新竹縣,810,2011,10
桃園市,805,2011,10
苗栗縣,832,2011,10
臺中市,806,2011,10
彰化縣,780,2011,10
南投縣,814,2011,10
嘉義市,798,2011,10
嘉義縣,815,2011,10
雲林縣,820,2011,10
臺南市,792,2011,10
高雄市,802,2011,10
澎湖縣,816,2011,10
屏東縣,792,2011,10
臺東縣,849,2011,10
花蓮縣,837,2011,10
金門縣,820,2011,10
連江縣,842,2011,10
臺北市,894,2011,11
基隆市,888,2011,11
新北市,847,2011,11
宜蘭縣,787,2011,11
新竹市,795,2011,11
新竹縣,802,2011,11
桃園市,806,2011,11
苗栗縣,833,2011,11
臺中市,810,2011,11
彰化縣,783,2011,11
南投縣,817,2011,11
嘉義市,793,2011,11
嘉義縣,811,2011,11
雲林縣,825,2011,11
臺南市,788,2011,11
高雄市,801,2011,11
澎湖縣,820,2011,11
屏東縣,790,2011,11
臺東縣,854,2011,11
花蓮縣,841,2011,11
金門縣,820,2011,11
連江縣,842,2011,11
臺北市,902,2011,12
基隆市,875,2011,12
新北市,843,2011,12
宜蘭縣,781,2011,12
新竹市,818,2011,12
新竹縣,818,2011,12
桃園市,802,2011,12
苗栗縣,838,2011,12
臺中市,808,2011,12
彰化縣,786,2011,12
南投縣,808,2011,12
嘉義市,799,2011,12
嘉義縣,811,2011,12
雲林縣,818,2011,12
臺南市,794,2011,12
高雄市,805,2011,12
澎湖縣,818,2011,12
屏東縣,786,2011,12
臺東縣,848,2011,12
花蓮縣,838,2011,12
金門縣,820,2011,12
連江縣,842,2011,12
臺北市,903,2012,01
基隆市,877,2012,01
新北市,847,2012,01
宜蘭縣,786,2012,01
新竹市,822,2012,01
新竹縣,815,2012,01
桃園市,802,2012,01
苗栗縣,833,2012,01
臺中市,807,2012,01
彰化縣,786,2012,01
南投縣,812,2012,01
嘉義市,796,2012,01
嘉義縣,817,2012,01
雲林縣,822,2012,01
臺南市,793,2012,01
高雄市,803,2012,01
澎湖縣,815,2012,01
屏東縣,794,2012,01
臺東縣,847,2012,01
花蓮縣,846,2012,01
金門縣,821,2012,01
連江縣,842,2012,01
臺北市,922,2012,02
基隆市,936,2012,02
新北市,884,2012,02
宜蘭縣,819,2012,02
新竹市,830,2012,02
新竹縣,843,2012,02
桃園市,834,2012,02
苗栗縣,861,2012,02
臺中市,855,2012,02
彰化縣,820,2012,02
南投縣,852,2012,02
嘉義市,827,2012,02
嘉義縣,844,2012,02
雲林縣,852,2012,02
臺南市,824,2012,02
高雄市,837,2012,02
澎湖縣,866,2012,02
屏東縣,823,2012,02
臺東縣,887,2012,02
花蓮縣,872,2012,02
金門縣,856,2012,02
連江縣,878,2012,02
臺北市,961,2012,03
基隆市,950,2012,03
新北市,918,2012,03
宜蘭縣,863,2012,03
新竹市,882,2012,03
新竹縣,887,2012,03
桃園市,877,2012,03
苗栗縣,905,2012,03
臺中市,888,2012,03
彰化縣,861,2012,03
南投縣,884,2012,03
嘉義市,868,2012,03
嘉義縣,882,2012,03
雲林縣,891,2012,03
臺南市,868,2012,03
高雄市,876,2012,03
澎湖縣,905,2012,03
屏東縣,864,2012,03
臺東縣,918,2012,03
花蓮縣,910,2012,03
金門縣,895,2012,03
連江縣,918,2012,03
臺北市,943,2012,04
基隆市,920,2012,04
新北市,878,2012,04
宜蘭縣,830,2012,04
新竹市,845,2012,04
新竹縣,844,2012,04
桃園市,843,2012,04
苗栗縣,862,2012,04
臺中市,852,2012,04
彰化縣,812,2012,04
南投縣,849,2012,04
嘉義市,831,2012,04
嘉義縣,844,2012,04
雲林縣,851,2012,04
臺南市,830,2012,04
高雄市,833,2012,04
澎湖縣,866,2012,04
屏東縣,827,2012,04
臺東縣,887,2012,04
花蓮縣,875,2012,04
金門縣,857,2012,04
連江縣,878,2012,04
臺北市,896,2012,05
基隆市,890,2012,05
新北市,857,2012,05
宜蘭縣,790,2012,05
新竹市,800,2012,05
新竹縣,810,2012,05
桃園市,809,2012,05
苗栗縣,837,2012,05
臺中市,821,2012,05
彰化縣,788,2012,05
南投縣,821,2012,05
嘉義市,795,2012,05
嘉義縣,810,2012,05
雲林縣,822,2012,05
臺南市,797,2012,05
高雄市,804,2012,05
澎湖縣,842,2012,05
屏東縣,801,2012,05
臺東縣,865,2012,05
花蓮縣,840,2012,05
金門縣,827,2012,05
連江縣,848,2012,05
臺北市,871,2012,06
基隆市,858,2012,06
新北市,819,2012,06
宜蘭縣,769,2012,06
新竹市,785,2012,06
新竹縣,781,2012,06
桃園市,773,2012,06
苗栗縣,812,2012,06
臺中市,791,2012,06
彰化縣,762,2012,06
南投縣,790,2012,06
嘉義市,767,2012,06
嘉義縣,780,2012,06
雲林縣,791,2012,06
臺南市,772,2012,06
高雄市,780,2012,06
澎湖縣,805,2012,06
屏東縣,763,2012,06
臺東縣,832,2012,06
花蓮縣,819,2012,06
金門縣,798,2012,06
連江縣,818,2012,06
臺北市,849,2012,07
基隆市,821,2012,07
新北市,790,2012,07
宜蘭縣,743,2012,07
新竹市,762,2012,07
新竹縣,764,2012,07
桃園市,746,2012,07
苗栗縣,781,2012,07
臺中市,763,2012,07
彰化縣,726,2012,07
南投縣,756,2012,07
嘉義市,738,2012,07
嘉義縣,755,2012,07
雲林縣,760,2012,07
臺南市,740,2012,07
高雄市,748,2012,07
澎湖縣,775,2012,07
屏東縣,736,2012,07
臺東縣,800,2012,07
花蓮縣,779,2012,07
金門縣,770,2012,07
連江縣,788,2012,07
臺北市,887,2012,08
基隆市,892,2012,08
新北市,847,2012,08
宜蘭縣,796,2012,08
新竹市,788,2012,08
新竹縣,798,2012,08
桃園市,804,2012,08
苗栗縣,817,2012,08
臺中市,816,2012,08
彰化縣,780,2012,08
南投縣,801,2012,08
嘉義市,786,2012,08
嘉義縣,800,2012,08
雲林縣,810,2012,08
臺南市,787,2012,08
高雄市,797,2012,08
澎湖縣,828,2012,08
屏東縣,787,2012,08
臺東縣,860,2012,08
花蓮縣,837,2012,08
金門縣,818,2012,08
連江縣,838,2012,08
臺北市,938,2012,09
基隆市,918,2012,09
新北市,888,2012,09
宜蘭縣,843,2012,09
新竹市,860,2012,09
新竹縣,856,2012,09
桃園市,851,2012,09
苗栗縣,872,2012,09
臺中市,860,2012,09
彰化縣,830,2012,09
南投縣,856,2012,09
嘉義市,836,2012,09
嘉義縣,849,2012,09
雲林縣,860,2012,09
臺南市,839,2012,09
高雄市,846,2012,09
澎湖縣,878,2012,09
屏東縣,834,2012,09
臺東縣,908,2012,09
花蓮縣,898,2012,09
金門縣,868,2012,09
連江縣,888,2012,09
臺北市,948,2012,10
基隆市,916,2012,10
新北市,893,2012,10
宜蘭縣,842,2012,10
新竹市,855,2012,10
新竹縣,861,2012,10
桃園市,849,2012,10
苗栗縣,872,2012,10
臺中市,858,2012,10
彰化縣,826,2012,10
南投縣,854,2012,10
嘉義市,835,2012,10
嘉義縣,861,2012,10
雲林縣,860,2012,10
臺南市,846,2012,10
高雄市,844,2012,10
澎湖縣,876,2012,10
屏東縣,842,2012,10
臺東縣,902,2012,10
花蓮縣,887,2012,10
金門縣,867,2012,10
連江縣,888,2012,10
臺北市,932,2012,11
基隆市,925,2012,11
新北市,898,2012,11
宜蘭縣,838,2012,11
新竹市,835,2012,11
新竹縣,856,2012,11
桃園市,851,2012,11
苗栗縣,870,2012,11
臺中市,862,2012,11
彰化縣,833,2012,11
南投縣,863,2012,11
嘉義市,834,2012,11
嘉義縣,851,2012,11
雲林縣,862,2012,11
臺南市,837,2012,11
高雄市,846,2012,11
澎湖縣,881,2012,11
屏東縣,839,2012,11
臺東縣,918,2012,11
花蓮縣,892,2012,11
金門縣,867,2012,11
連江縣,888,2012,11
臺北市,940,2012,12
基隆市,938,2012,12
新北市,893,2012,12
宜蘭縣,844,2012,12
新竹市,862,2012,12
新竹縣,856,2012,12
桃園市,844,2012,12
苗栗縣,869,2012,12
臺中市,859,2012,12
彰化縣,829,2012,12
南投縣,859,2012,12
嘉義市,836,2012,12
嘉義縣,850,2012,12
雲林縣,859,2012,12
臺南市,841,2012,12
高雄市,844,2012,12
澎湖縣,878,2012,12
屏東縣,839,2012,12
臺東縣,900,2012,12
花蓮縣,897,2012,12
金門縣,868,2012,12
連江縣,888,2012,12
臺北市,943,2013,01
基隆市,917,2013,01
新北市,893,2013,01
宜蘭縣,842,2013,01
新竹市,860,2013,01
新竹縣,856,2013,01
桃園市,845,2013,01
苗栗縣,872,2013,01
臺中市,857,2013,01
彰化縣,826,2013,01
南投縣,858,2013,01
嘉義市,834,2013,01
嘉義縣,853,2013,01
雲林縣,858,2013,01
臺南市,844,2013,01
高雄市,845,2013,01
澎湖縣,877,2013,01
屏東縣,839,2013,01
臺東縣,902,2013,01
花蓮縣,887,2013,01
金門縣,868,2013,01
連江縣,888,2013,01
臺北市,932,2013,02
基隆市,925,2013,02
新北市,895,2013,02
宜蘭縣,836,2013,02
新竹市,840,2013,02
新竹縣,854,2013,02
桃園市,852,2013,02
苗栗縣,874,2013,02
臺中市,859,2013,02
彰化縣,829,2013,02
南投縣,860,2013,02
嘉義市,835,2013,02
嘉義縣,848,2013,02
雲林縣,862,2013,02
臺南市,839,2013,02
高雄市,846,2013,02
澎湖縣,881,2013,02
屏東縣,840,2013,02
臺東縣,905,2013,02
花蓮縣,891,2013,02
金門縣,868,2013,02
連江縣,888,2013,02
臺北市,944,2013,03
基隆市,932,2013,03
新北市,889,2013,03
宜蘭縣,836,2013,03
新竹市,862,2013,03
新竹縣,861,2013,03
桃園市,846,2013,03
苗栗縣,874,2013,03
臺中市,863,2013,03
彰化縣,831,2013,03
南投縣,859,2013,03
嘉義市,837,2013,03
嘉義縣,847,2013,03
雲林縣,859,2013,03
臺南市,840,2013,03
高雄市,848,2013,03
澎湖縣,878,2013,03
屏東縣,836,2013,03
臺東縣,902,2013,03
花蓮縣,894,2013,03
金門縣,868,2013,03
連江縣,888,2013,03
臺北市,944,2013,04
基隆市,910,2013,04
新北市,889,2013,04
宜蘭縣,835,2013,04
新竹市,850,2013,04
新竹縣,861,2013,04
桃園市,846,2013,04
苗栗縣,873,2013,04
臺中市,856,2013,04
彰化縣,826,2013,04
南投縣,856,2013,04
嘉義市,836,2013,04
嘉義縣,859,2013,04
雲林縣,860,2013,04
臺南市,843,2013,04
高雄市,844,2013,04
澎湖縣,878,2013,04
屏東縣,840,2013,04
臺東縣,903,2013,04
花蓮縣,887,2013,04
金門縣,868,2013,04
連江縣,888,2013,04
臺北市,937,2013,05
基隆市,944,2013,05
新北市,898,2013,05
宜蘭縣,834,2013,05
新竹市,842,2013,05
新竹縣,861,2013,05
桃園市,843,2013,05
苗栗縣,877,2013,05
臺中市,862,2013,05
彰化縣,830,2013,05
南投縣,861,2013,05
嘉義市,833,2013,05
嘉義縣,853,2013,05
雲林縣,860,2013,05
臺南市,838,2013,05
高雄市,844,2013,05
澎湖縣,882,2013,05
屏東縣,835,2013,05
臺東縣,906,2013,05
花蓮縣,888,2013,05
金門縣,868,2013,05
連江縣,888,2013,05
臺北市,947,2013,06
基隆市,940,2013,06
新北市,899,2013,06
宜蘭縣,851,2013,06
新竹市,872,2013,06
新竹縣,856,2013,06
桃園市,861,2013,06
苗栗縣,882,2013,06
臺中市,865,2013,06
彰化縣,840,2013,06
南投縣,866,2013,06
嘉義市,841,2013,06
嘉義縣,854,2013,06
雲林縣,864,2013,06
臺南市,850,2013,06
高雄市,855,2013,06
澎湖縣,883,2013,06
屏東縣,848,2013,06
臺東縣,912,2013,06
花蓮縣,899,2013,06
金門縣,868,2013,06
連江縣,895,2013,06
臺北市,978,2013,07
基隆市,952,2013,07
新北市,922,2013,07
宜蘭縣,866,2013,07
新竹市,890,2013,07
新竹縣,884,2013,07
桃園市,872,2013,07
苗栗縣,898,2013,07
臺中市,885,2013,07
彰化縣,855,2013,07
南投縣,881,2013,07
嘉義市,859,2013,07
嘉義縣,880,2013,07
雲林縣,881,2013,07
臺南市,870,2013,07
高雄市,872,2013,07
澎湖縣,900,2013,07
屏東縣,871,2013,07
臺東縣,933,2013,07
花蓮縣,905,2013,07
金門縣,887,2013,07
連江縣,915,2013,07
臺北市,976,2013,08
基隆市,971,2013,08
新北市,940,2013,08
宜蘭縣,876,2013,08
新竹市,884,2013,08
新竹縣,897,2013,08
桃園市,890,2013,08
苗栗縣,910,2013,08
臺中市,905,2013,08
彰化縣,871,2013,08
南投縣,896,2013,08
嘉義市,875,2013,08
嘉義縣,890,2013,08
雲林縣,895,2013,08
臺南市,880,2013,08
高雄市,886,2013,08
澎湖縣,915,2013,08
屏東縣,877,2013,08
臺東縣,951,2013,08
花蓮縣,927,2013,08
金門縣,898,2013,08
連江縣,928,2013,08
臺北市,1012,2013,09
基隆市,992,2013,09
新北市,965,2013,09
宜蘭縣,904,2013,09
新竹市,920,2013,09
新竹縣,915,2013,09
桃園市,915,2013,09
苗栗縣,940,2013,09
臺中市,927,2013,09
彰化縣,899,2013,09
南投縣,928,2013,09
嘉義市,903,2013,09
嘉義縣,916,2013,09
雲林縣,924,2013,09
臺南市,913,2013,09
高雄市,916,2013,09
澎湖縣,937,2013,09
屏東縣,905,2013,09
臺東縣,977,2013,09
花蓮縣,956,2013,09
金門縣,928,2013,09
連江縣,958,2013,09
臺北市,1009,2013,10
基隆市,990,2013,10
新北市,949,2013,10
宜蘭縣,906,2013,10
新竹市,898,2013,10
新竹縣,919,2013,10
桃園市,908,2013,10
苗栗縣,929,2013,10
臺中市,915,2013,10
彰化縣,887,2013,10
南投縣,908,2013,10
嘉義市,892,2013,10
嘉義縣,908,2013,10
雲林縣,914,2013,10
臺南市,903,2013,10
高雄市,904,2013,10
澎湖縣,930,2013,10
屏東縣,896,2013,10
臺東縣,952,2013,10
花蓮縣,945,2013,10
金門縣,919,2013,10
連江縣,948,2013,10
臺北市,1020,2013,11
基隆市,991,2013,11
新北市,973,2013,11
宜蘭縣,915,2013,11
新竹市,930,2013,11
新竹縣,926,2013,11
桃園市,929,2013,11
苗栗縣,950,2013,11
臺中市,937,2013,11
彰化縣,908,2013,11
南投縣,940,2013,11
嘉義市,916,2013,11
嘉義縣,928,2013,11
雲林縣,933,2013,11
臺南市,919,2013,11
高雄市,923,2013,11
澎湖縣,953,2013,11
屏東縣,910,2013,11
臺東縣,979,2013,11
花蓮縣,960,2013,11
金門縣,940,2013,11
連江縣,968,2013,11
臺北市,1028,2013,12
基隆市,1002,2013,12
新北市,990,2013,12
宜蘭縣,938,2013,12
新竹市,960,2013,12
新竹縣,945,2013,12
桃園市,948,2013,12
苗栗縣,969,2013,12
臺中市,956,2013,12
彰化縣,931,2013,12
南投縣,952,2013,12
嘉義市,926,2013,12
嘉義縣,931,2013,12
雲林縣,957,2013,12
臺南市,942,2013,12
高雄市,943,2013,12
澎湖縣,974,2013,12
屏東縣,932,2013,12
臺東縣,1003,2013,12
花蓮縣,992,2013,12
金門縣,959,2013,12
連江縣,988,2013,12
臺北市,973,2014,01
基隆市,934,2014,01
新北市,919,2014,01
宜蘭縣,862,2014,01
新竹市,882,2014,01
新竹縣,882,2014,01
桃園市,880,2014,01
